suiteId,caseId,family,suitePurpose,topologyKind,valid,directVerdict,directStatus,directTMeanMs,staticVerdict,staticStatus,staticMatch,staticTMeanMs,staticQ,staticSigma,staticR,staticSpeedup,dynamicVerdict,dynamicStatus,dynamicMatch,dynamicTMeanMs,dynamicQ,dynamicSigma,dynamicR,dynamicSpeedup,preprocess,property
"G3_split_required","G3_00","G3","SANITY","SPLIT_BUFFER","Yes","SAFE","PASS",69,"SAFE","PASS","YES",277,1,2,0,"0.25","SAFE","PASS","YES",278,1,2,0,"0.25","BIDIRECTIONAL_DOMAIN_SPLIT","A[] Buf.count >= 0"
"G3_split_required","G3_01","G3","SANITY","SPLIT_BUFFER","No","UNSAFE","PASS",70,"UNSAFE","PASS","YES",552,2,2,1,"0.13","UNSAFE","PASS","YES",547,2,2,1,"0.13","BIDIRECTIONAL_DOMAIN_SPLIT","A[] Buf.count >= 0"
"G3_split_required","G3_02","G3","SANITY","SPLIT_BUFFER","Yes","SAFE","PASS",69,"SAFE","PASS","YES",313,1,2,0,"0.22","SAFE","PASS","YES",282,1,2,0,"0.24","BIDIRECTIONAL_DOMAIN_SPLIT","A[] Buf.count >= 0"
"G3_split_required","G3_03","G3","SANITY","SPLIT_BUFFER","No","UNSAFE","PASS",70,"UNSAFE","PASS","YES",551,2,2,1,"0.13","UNSAFE","PASS","YES",559,2,2,1,"0.13","BIDIRECTIONAL_DOMAIN_SPLIT","A[] Buf.count >= 0"
"G3_split_required","G3_04","G3","SANITY","SPLIT_BUFFER","Yes","SAFE","PASS",73,"SAFE","PASS","YES",268,1,2,0,"0.27","SAFE","PASS","YES",276,1,2,0,"0.26","BIDIRECTIONAL_DOMAIN_SPLIT","A[] Buf.count >= 0"
"G3_split_required","G3_05","G3","SANITY","SPLIT_BUFFER","No","UNSAFE","PASS",69,"UNSAFE","PASS","YES",572,2,2,1,"0.12","UNSAFE","PASS","YES",555,2,2,1,"0.12","BIDIRECTIONAL_DOMAIN_SPLIT","A[] Buf.count >= 0"
"G3_split_required","G3_06","G3","SANITY","SPLIT_BUFFER","Yes","SAFE","PASS",82,"SAFE","PASS","YES",290,1,2,0,"0.28","SAFE","PASS","YES",280,1,2,0,"0.29","BIDIRECTIONAL_DOMAIN_SPLIT","A[] Buf.count <= Buf.len"
"G3_split_required","G3_07","G3","SANITY","SPLIT_BUFFER","No","UNSAFE","PASS",66,"UNSAFE","PASS","YES",1154,3,2,2,"0.06","UNSAFE","PASS","YES",1165,3,2,2,"0.06","BIDIRECTIONAL_DOMAIN_SPLIT","A[] Buf.count <= Buf.len"
"G3_split_required","G3_08","G3","SANITY","SPLIT_BUFFER","Yes","SAFE","PASS",97,"SAFE","PASS","YES",286,1,2,0,"0.34","SAFE","PASS","YES",282,1,2,0,"0.34","BIDIRECTIONAL_DOMAIN_SPLIT","A[] Buf.count <= Buf.len"
"G3_split_required","G3_09","G3","SANITY","SPLIT_BUFFER","No","UNSAFE","PASS",66,"UNSAFE","PASS","YES",1122,3,2,2,"0.06","UNSAFE","PASS","YES",1136,3,2,2,"0.06","BIDIRECTIONAL_DOMAIN_SPLIT","A[] Buf.count <= Buf.len"
"G3_split_required","G3_10","G3","SANITY","SPLIT_BUFFER","Yes","SAFE","PASS",68,"SAFE","PASS","YES",280,1,2,0,"0.24","SAFE","PASS","YES",305,1,2,0,"0.22","BIDIRECTIONAL_DOMAIN_SPLIT","A[] Buf.count <= Buf.len"
"G3_split_required","G3_11","G3","SANITY","SPLIT_BUFFER","No","UNSAFE","PASS",64,"UNSAFE","PASS","YES",1105,3,2,2,"0.06","UNSAFE","PASS","YES",1100,3,2,2,"0.06","BIDIRECTIONAL_DOMAIN_SPLIT","A[] Buf.count <= Buf.len"
