group,caseId,sourceCase,property,m1,m2,structureGroup,partition,preprocess,valid,directVerdict,directStatus,directTMeanMs,staticVerdict,staticStatus,staticMatch,staticTMeanMs,staticQ,staticSigma,staticR,staticSpeedup,dynamicVerdict,dynamicStatus,dynamicMatch,dynamicTMeanMs,dynamicQ,dynamicSigma,dynamicR,dynamicSpeedup
"PC Channel","PC_1","pc.PcP1C3K2Source","A[] Buffer.count >= 0 && Buffer.count <= Buffer.len","Buffer","Producer_1+Consumer_1+Consumer_2+Consumer_3","M1-single/M2-multi","binary-channel adaptation","NONE","Yes","SAFE","PASS",434,"SAFE","PASS","YES",375,1,2,0,"1.16","SAFE","PASS","YES",373,1,2,0,"1.16"
"PC Channel","PC_2","pc.PcP1C3K2Source","A[] Buffer.count >= 0 && Buffer.count <= Buffer.len","Buffer+Producer_1","Consumer_1+Consumer_2+Consumer_3","M1-multi/M2-multi","producer internal to M1","NONE","Yes","SAFE","PASS",100,"SAFE","PASS","YES",290,1,1,0,"0.34","SAFE","PASS","YES",274,1,1,0,"0.36"
"PC Channel","PC_3","pc.PcP1C3K2Source","A[] Buffer.count >= 0 && Buffer.count <= Buffer.len","Buffer+Consumer_1+Consumer_2+Consumer_3","Producer_1","M1-multi/M2-single","all consumers internal to M1","NONE","Yes","SAFE","PASS",91,"SAFE","PASS","YES",283,1,1,0,"0.32","SAFE","PASS","YES",267,1,1,0,"0.34"
