group,caseId,sourceCase,property,m1,m2,structureGroup,partition,preprocess,valid,directVerdict,directStatus,directTMeanMs,staticVerdict,staticStatus,staticMatch,staticTMeanMs,staticQ,staticSigma,staticR,staticSpeedup,dynamicVerdict,dynamicStatus,dynamicMatch,dynamicTMeanMs,dynamicQ,dynamicSigma,dynamicR,dynamicSpeedup
"Fischer Channel","Fischer2_1","fischer.FischerTa3Source","A[] Mutex.hold <= 1","Mutex","Process_1+Process_2+Global_Var","M1-single/M2-multi","monitor-only partition","NONE","Yes","SAFE","PASS",438,"SAFE","PASS","YES",2506,3,4,1,"0.17","SAFE","PASS","YES",2339,3,4,1,"0.19"
"Fischer Channel","Fischer2_2","fischer.FischerTa3Source","A[] Mutex.hold <= 1","Mutex+Process_1","Process_2+Global_Var","M1-multi/M2-multi","Process_1 internal to M1","NONE","Yes","SAFE","PASS",85,"SAFE","PASS","YES",614,1,5,0,"0.14","SAFE","PASS","YES",635,1,5,0,"0.13"
"Fischer Channel","Fischer3_1","fischer.FischerTa4Source","A[] Mutex.hold <= 1","Mutex","Process_1+Process_2+Process_3+Global_Var","M1-single/M2-multi","monitor-only partition","NONE","Yes","SAFE","PASS",92,"SAFE","PASS","YES",3379,3,6,1,"0.03","SAFE","PASS","YES",3396,3,6,1,"0.03"
"Fischer Channel","Fischer3_2","fischer.FischerTa4Source","A[] Mutex.hold <= 1","Mutex+Process_1","Process_2+Process_3+Global_Var","M1-multi/M2-multi","Process_1 internal to M1","NONE","Yes","SAFE","PASS",87,"SAFE","PASS","YES",601,1,5,0,"0.14","SAFE","PASS","YES",622,1,5,0,"0.14"
