group,caseId,sourceCase,property,m1,m2,structureGroup,partition,preprocess,valid,directVerdict,directStatus,directTMeanMs,staticVerdict,staticStatus,staticMatch,staticTMeanMs,staticQ,staticSigma,staticR,staticSpeedup,dynamicVerdict,dynamicStatus,dynamicMatch,dynamicTMeanMs,dynamicQ,dynamicSigma,dynamicR,dynamicSpeedup
"AUTOSAR-2 Channel","Experiment2_1","autosar2.Experiment2_1","A[] buffer1.count >= 0","buffer1","runnable1..3+buffer2+buffer4+schedule","M1-single/M2-multi","minimal repartition around buffer1 after original split timeout","NONE","Yes","ROM","ROM",-1,"SAFE","PASS","NO",1457,3,2,1,"-","SAFE","PASS","NO",1441,3,2,1,"-"
"AUTOSAR-2 Channel","Experiment2_2","autosar2.Experiment2_2","A[] buffer1.count <= buffer1.len","buffer1","runnable1..3+buffer2+buffer4+schedule","M1-single/M2-multi","minimal repartition around buffer1 after original split timeout","NONE","Yes","ROM","ROM",-1,"SAFE","PASS","NO",1490,3,2,1,"-","SAFE","PASS","NO",1302,3,2,1,"-"
"AUTOSAR-2 Channel","Experiment2_3","autosar2.Experiment2_3","A[] buffer2.count >= 0","buffer2","runnable1..3+buffer1+buffer4+rte+schedule","M1-single/M2-multi","minimal repartition around buffer2 after original split timeout","NONE","Yes","ROM","ROM",-1,"SAFE","PASS","NO",1479,3,2,1,"-","SAFE","PASS","NO",1454,3,2,1,"-"
"AUTOSAR-2 Channel","Experiment2_4","autosar2.Experiment2_4","A[] buffer2.count <= buffer2.len","buffer2","runnable1..3+buffer1+buffer4+rte+schedule","M1-single/M2-multi","minimal repartition around buffer2 after original split timeout","NONE","Yes","ROM","ROM",-1,"SAFE","PASS","NO",407,1,2,0,"-","SAFE","PASS","NO",403,1,2,0,"-"
