group,caseId,sourceCase,property,m1,m2,structureGroup,partition,preprocess,valid,verdict,status,tMeanMs,error
"Train-Gate Channel","TrainGate_1","train_gate.TrainGateN7Source","A[] Queue.list[N-1] == 0","Gate+Queue","Train_1+Train_2+Train_3+Train_4+Train_5+Train_6+Train_7","M1-central/M2-symmetric","Gate+Queue internal to M1","NONE","Yes","SAFE","PASS",1064,
"Train-Gate Channel","TrainGate_2","train_gate.TrainGateN8Source","A[] Queue.list[N-1] == 0","Gate+Queue","Train_1+Train_2+Train_3+Train_4+Train_5+Train_6+Train_7+Train_8","M1-central/M2-symmetric","Gate+Queue internal to M1","NONE","Yes","SAFE","PASS",6913,
"Train-Gate Channel","TrainGate_3","train_gate.TrainGateN9Source","A[] Queue.list[N-1] == 0","Gate+Queue","Train_1+Train_2+Train_3+Train_4+Train_5+Train_6+Train_7+Train_8+Train_9","M1-central/M2-symmetric","Gate+Queue internal to M1","NONE","Yes","SAFE","PASS",74491,
