group,caseId,sourceCase,property,m1,m2,structureGroup,partition,preprocess,policy,valid,verdict,status,match,tMeanMs,q,sigma,r,error
"AUTOSAR-1 Channel","Experiment1_single_4","autosar1.singleM1.Experiment1_single_4","A[] buffer2.count <= buffer2.len","buffer2","runnable1+runnable2+runnable3+runnable4+buffer1+schedule2+schedule1","M1-single/M2-multi","original split","NONE","DYNAMIC_GAMMA","Yes","SAFE","PASS","YES",400,1,2,0,
"AUTOSAR-1 Channel","Experiment1_1","autosar1.mutileM1.Experiment1_1","A[] (buffer1.count >=0)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","DYNAMIC_GAMMA","Yes","SAFE","PASS","YES",5847,3,2,2,
"AUTOSAR-1 Channel","Experiment1_2","autosar1.mutileM1.Experiment1_2","A[] (buffer1.count <= buffer1.len)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","DYNAMIC_GAMMA","Yes","SAFE","PASS","YES",4724,2,2,1,
"AUTOSAR-1 Channel","Experiment1_3","autosar1.mutileM1.Experiment1_3","A[] (buffer2.count >=0)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","DYNAMIC_GAMMA","Yes","SAFE","PASS","YES",4728,2,2,1,
"AUTOSAR-1 Channel","Experiment1_4","autosar1.mutileM1.Experiment1_4","A[] (buffer2.count <= buffer2.len)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","DYNAMIC_GAMMA","Yes","SAFE","PASS","YES",4534,2,2,1,
"AUTOSAR-1 Channel","Experiment1_5","autosar1.mutileM1.Experiment1_5","A[] not (runnable1.s2 and runnable2.s2)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","DYNAMIC_GAMMA","No","UNSAFE","PASS","YES",5303,4,2,5,
"AUTOSAR-1 Channel","Experiment1_6","autosar1.mutileM1.Experiment1_6","A[] not (runnable3.s2 and runnable4.s2)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule1","schedule2","M1-multi/M2-single","original split","NONE","DYNAMIC_GAMMA","Yes","SAFE","PASS","YES",12575,4,2,5,
"AUTOSAR-2 Channel","Experiment2_1","autosar2.Experiment2_1","A[] buffer1.count >= 0","buffer1","runnable1..3+buffer2+buffer4+schedule","M1-single/M2-multi","minimal repartition around buffer1 after original split timeout","NONE","DYNAMIC_GAMMA","Yes","SAFE","PASS","NO",1441,3,2,1,
"AUTOSAR-2 Channel","Experiment2_2","autosar2.Experiment2_2","A[] buffer1.count <= buffer1.len","buffer1","runnable1..3+buffer2+buffer4+schedule","M1-single/M2-multi","minimal repartition around buffer1 after original split timeout","NONE","DYNAMIC_GAMMA","Yes","SAFE","PASS","NO",1302,3,2,1,
"AUTOSAR-2 Channel","Experiment2_3","autosar2.Experiment2_3","A[] buffer2.count >= 0","buffer2","runnable1..3+buffer1+buffer4+rte+schedule","M1-single/M2-multi","minimal repartition around buffer2 after original split timeout","NONE","DYNAMIC_GAMMA","Yes","SAFE","PASS","NO",1454,3,2,1,
"AUTOSAR-2 Channel","Experiment2_4","autosar2.Experiment2_4","A[] buffer2.count <= buffer2.len","buffer2","runnable1..3+buffer1+buffer4+rte+schedule","M1-single/M2-multi","minimal repartition around buffer2 after original split timeout","NONE","DYNAMIC_GAMMA","Yes","SAFE","PASS","NO",403,1,2,0,
"AUTOSAR-3 Channel","Experiment3_1","autosar3.Experiment3_1","A[] buffer1.count >= 0","runnable1..7+buffer1..3+task1..3","schedule","M1-multi/M2-single","original split","NONE","DYNAMIC_GAMMA","Yes","SAFE","PASS","YES",1822,2,3,1,
"AUTOSAR-3 Channel","Experiment3_2","autosar3.Experiment3_2","A[] buffer2.count >= 0","buffer2","runnable1..7+buffer1+buffer3+task1..3+schedule","M1-single/M2-multi","minimal repartition around buffer2 after original split incompatibility","NONE","DYNAMIC_GAMMA","Yes","SAFE","PASS","YES",1688,3,2,1,
"AUTOSAR-3 Channel","Experiment3_3","autosar3.Experiment3_3","A[] buffer3.count >= 0","buffer3","runnable1..7+buffer1..2+task1..3+schedule","M1-single/M2-multi","minimal repartition around buffer3 after original split incompatibility","NONE","DYNAMIC_GAMMA","Yes","SAFE","PASS","YES",7261,5,2,3,
